course_name,year,nr_students
Advanced VLSI design,2017-2018,16
Photonic micro- and nanosystems,2017-2018,16
Localisation par satellites,2018-2019,16
"Organisation, économie et droit de la construction II",2004-2005,16
"Wood structures, properties and uses",2019-2020,16
Corporate governance,2006-2007,16
Polymer morphological characterization techniques,2015-2016,16
Concurrency semantics,2004-2005,16
"Organisation, économie et droit de la construction II",2013-2014,16
Conception pour X,2009-2010,16
Programming concepts in scientific computing,2019-2020,16
Regression models,2008-2009,16
Project in translational bioengineering,2012-2013,16
Life cycle engineering of polymers,2015-2016,16
Audio signal processing and virtual acoustics,2014-2015,16
Conception de systèmes numériques pour EL,2018-2019,16
Seminar series on advances in materials (spring),2018-2019,16
"État, droit(s) et individus",2004-2005,16
Épistémologie et histoire des sciences,2008-2009,16
Legged robots,2019-2020,16
Leadership & human resource management in a global context,2011-2012,16
Micro-usinage par Laser,2006-2007,16
Selected topics in computer vision,2005-2006,16
Atoms and radiation,2011-2012,16
Systèmes de management environnementaux,2019-2020,16
Optique I,2004-2005,16
Automatic speech processing,2015-2016,16
Ville et transport II,2009-2010,16
Introduction to particle accelerators,2010-2011,16
Real-time programming,2007-2008,16
Advanced composites in engineering structures,2009-2010,16
Introduction to electronic structure methods,2010-2011,16
Reactor technology,2019-2020,16
Bio-ingénierie des cours d'eau et milieux naturels,2009-2010,16
Villes et transports,2011-2012,16
Deformation and fracture Laboratory Work,2010-2011,16
Introduction to particle accelerators,2013-2014,16
Ville et mobilité,2018-2019,16
Systèmes de télécommunications,2018-2019,16
Design of experiments (a) - Fall semester,2011-2012,16
Design of experiments (a) - Fall semester,2012-2013,16
Industry analysis and trends,2008-2009,16
Combinatorique,2007-2008,16
Advanced diffusional separation processes,2016-2017,16
Decision-aid methodologies in transportation,2014-2015,16
Filières de conversion d'énergie,2005-2006,16
Filières de conversion d'énergie,2007-2008,16
Smart grids technologies,2016-2017,16
Power systems dynamics,2019-2020,16
Wave propagation along transmission lines,2008-2009,16
Introduction à la photonique,2015-2016,16
Filières de conversion d'énergie,2006-2007,16
Sciences du vivant,2008-2009,16
Computational complexity,2018-2019,16
Turbomachines thermiques,2006-2007,16
Relativité et cosmologie II,2007-2008,16
Sociologie urbaine,2005-2006,16
Introduction à l'analyse fonctionnelle,2009-2010,16
Cycle de vie des polymères,2007-2008,16
Introduction à l'analyse fonctionnelle,2007-2008,16
Cycle de vie des polymères,2010-2011,16
Data analysis and model classification,2013-2014,16
Data and artificial intelligence for transportation,2017-2018,16
De- and re-regulation of Network Industries,2011-2012,16
Théorie et critique du projet MA2 (Berger),2010-2011,16
Théorie et critique du projet MA2 (Berger),2008-2009,16
Estimation theory,2005-2006,16
Traitement automatique de la parole,2008-2009,16
Electronique III,2009-2010,16
Systèmes mécatroniques II,2007-2008,16
Entrepreneurship & new venture strategy (a),2016-2017,16
Homology and cohomology,2017-2018,16
Networks out of control,2015-2016,16
Réseaux électriques,2016-2017,16
Electronique industrielle I,2010-2011,16
Histoire du béton,2019-2020,16
Microsystèmes : lois d'échelle,2010-2011,16
Analyse et management des risques industriels,2018-2019,16
Gestion du projet d'architecture II,2008-2009,16
Topométrie,2012-2013,16
Entrepreneurial finance  (for master programme),2004-2005,16
Total synthesis of natural products,2016-2017,16
Quantum physics IV,2019-2020,16
UE H : Graphie ,2013-2014,16
UE H : Architectures,2009-2010,16
Séminaire en physiologie et instrumentation,2005-2006,16
Human computer interaction,2008-2009,16
Neural networks and biological modeling,2009-2010,16
Structure de la matière condensée,2004-2005,16
Hydrogeophysics,2006-2007,16
Hydrodynamique acoustique,2016-2017,16
Electromécanique II,2005-2006,16
Performance evaluation,2006-2007,16
Gestion de la maintenance des infrastructures,2007-2008,16
Analyse de produits et systèmes,2009-2010,16
Gestion de la maintenance des infrastructures,2008-2009,16
Analyse des flux de matière,2007-2008,16
Electron microscopy: advanced methods,2014-2015,16
Hydraulic turbomachines,2008-2009,16
Mathematical modelling of DNA I,2005-2006,16
Mathematical modelling of DNA II,2005-2006,16
Business plan for IT services,2012-2013,16
Entrepreneurship laboratory (e-lab),2018-2019,16
Analyse des polluants dans l'environnement,2015-2016,16
Hydraulic turbomachines,2004-2005,16
Risk management,2013-2014,16
Energétique avancée et moteurs,2006-2007,16
UE J : Territoire et paysage,2014-2015,16
Optimization and simulation,2015-2016,16
Eléments de cheminformatique,2011-2012,16
Anneaux et modules,2009-2010,16
Groupes finis,2006-2007,16
Traitement quantique de l'information I,2011-2012,16
Nanotechnology I,2008-2009,16
Traitement quantique de l'information I,2012-2013,16
Géomécanique,2012-2013,16
Géomécanique,2007-2008,16
"Structures en métal, chapitres choisis",2004-2005,16
Applied machine learning,2006-2007,16
Traitement quantique de l'information II,2012-2013,16
Applied machine learning,2009-2010,16
Biomedical signal processing,2017-2018,16
Optique quantique,2006-2007,16
Powder technology,2015-2016,16
Biomedical optics,2018-2019,16
Génie des bioprocédés environnementaux,2013-2014,16
Géométrie intégrale,2009-2010,16
UE E : Architecture et structures,2005-2006,16
Méditerranée : mythes et grands textes fondateurs,2007-2008,16
Groupes et surfaces,2004-2005,16
Structures complexes,2006-2007,16
Mécatronique,2011-2012,16
UE B : Critique architecturale,2008-2009,16
Pharmaceutical biotechnology,2010-2011,16
Analysis and modelling of locomotion,2017-2018,16
Biomécanique du système cardiovasculaire,2007-2008,16
Eléments de cheminformatique,2010-2011,16
UE F : Architecture et réhabilitation,2009-2010,16
UE E : Architecture et structures,2009-2010,16
UE F : Architecture et réhabilitation,2008-2009,16
UE E : Architecture et structures,2014-2015,16
Nanotechnology II,2012-2013,16
Traitement des signaux,2018-2019,16
Traitement des signaux biomédicaux,2006-2007,16
Géotechnique et fondations,2005-2006,16
Optimisation des réseaux,2006-2007,16
Mechanical product design and development,2018-2019,16
Mécanique quantique pour ingénieurs I,2008-2009,16
Image processing for Earth observation,2019-2020,16
Early detection of technological innovation potential,2005-2006,16
Genomics and bioinformatics,2015-2016,16
Material and energy flow analysis ,2016-2017,16
Techniques d'assemblage I,2010-2011,16
Physics of nuclear reactors,2019-2020,16
Econometrics: data analysis & empirical methods,2012-2013,16
Algorithmes d'apprentissages et leurs applications,2004-2005,16
Algorithmes d'apprentissages et leurs applications,2005-2006,16
Théorie et critique du projet MA2 (Lamunière),2011-2012,16
Risques hydrologiques et aménagements,2017-2018,16
Algèbre commutative,2004-2005,16
Neutronics,2013-2014,16
Biological and artificial intelligent systems,2007-2008,16
Opérateurs de Fredholm,2007-2008,16
Cavitation et phénomènes d'interface,2011-2012,16
Algèbres de Lie,2005-2006,16
Biochemical engineering,2005-2006,16
Geocomputation,2012-2013,16
Ecologie et gestion du paysage,2007-2008,16
Genomics and bioinformatics,2014-2015,16
Cavitation et phénomènes d'interface,2007-2008,16
Genomics and bioinformatics,2012-2013,16
Robotics practicals,2018-2019,16
Dynamique moléculaire et simulation Monte-Carlo,2011-2012,16
Dynamique numérique des solides et des structures,2011-2012,16
Industrial automation,2018-2019,16
Assemblage et robotique TP,2007-2008,16
Développement durable I : défis pour l'environnement,2004-2005,16
"Mécanique des solides, chapitres choisis",2008-2009,16
Développement territorial et urbanisme I,2008-2009,16
"Ceramics, structures and properties + TP",2011-2012,16
Supply chain management,2016-2017,16
Techniques d'impression II,2004-2005,16
UE N : Empreintes,2007-2008,16
Supply chain management,2012-2013,16
Modelling and optimization of energy systems,2010-2011,16
Techniques d'assemblage II,2010-2011,16
Polymer chemistry and macromolecular engineering,2011-2012,16
Reactor Experiments,2013-2014,16
Optoélectronique,2006-2007,16
Assemblage et robotique TP,2010-2011,16
UE K : Architecture et durabilité : études de performances,2019-2020,16
Ecotoxicology,2019-2020,16
UE J : Territoire et paysage,2017-2018,16
Real-time networks,2006-2007,16
Systèmes mécatroniques,2013-2014,16
Microelectronics for systems on chips,2013-2014,16
Capteurs en instrumentation médicale,2008-2009,16
Real-time embedded systems,2018-2019,16
Neurosciences II : cellular mechanisms of brain function,2015-2016,16
Quantum physics III,2006-2007,16
"Physics of atoms, nuclei and elementary particles",2008-2009,16
Tissue engineering,2014-2015,16
Elaboration des céramiques et des colloïdes +TP,2018-2019,16
Ponts en métal,2005-2006,16
Méthodes de discrétisation en fluides,2014-2015,16
Strategic marketing management,2004-2005,16
TP en conversion d'énergie,2015-2016,16
Media security,2004-2005,16
"Environnements de travail, risques professionnels",2013-2014,16
Théorie et critique du projet MA2 (Vigano),2018-2019,16
IT and knowledge management,2004-2005,16
Théorie et critique du projet MA2 (Ortelli),2010-2011,16
UE K : Construction et critères environnementaux,2007-2008,16
Economie d'innovation,2007-2008,16
Mechanics of composites,2013-2014,16
Materials selection,2018-2019,16
Polymer chemistry and macromolecular engineering,2015-2016,15
Planification intégrée des infrastructures d'énergie,2013-2014,15
Parallélisation de programmes sur grappes de PC,2008-2009,15
Physique des plasmas I,2009-2010,15
Process development I,2005-2006,15
Physique des systèmes énergétiques II,2007-2008,15
"Organic electronic materials - synthesis, applications, properties",2017-2018,15
Physique des matériaux I,2006-2007,15
Physique du solide IV,2006-2007,15
Powder technology,2013-2014,15
"Organic electronic materials - synthesis, applications, properties",2016-2017,15
Process development II,2005-2006,15
Performance evaluation,2010-2011,15
Polymer morphological characterization techniques,2016-2017,15
Plasma physics III,2008-2009,15
Physique du solide III,2008-2009,15
Powerplants and heat pumps,2010-2011,15
Personal interaction studio,2008-2009,15
Physico-chimie et propriétés des polymères,2005-2006,15
Photonic systems and technology,2015-2016,15
Probabilités avancées,2008-2009,15
Organic and printed electronics,2017-2018,15
Practical business law,2012-2013,15
Optimization methods in finance,2009-2010,15
Ponts en béton,2004-2005,15
Parallel and high-performance computing,2016-2017,15
Optique II,2005-2006,15
Process development project,2012-2013,15
Physique des plasmas III,2007-2008,15
Process development project,2005-2006,15
Principles of computer systems,2018-2019,15
Process development I,2016-2017,15
Planification intégrée des infrastructures d'énergie,2019-2020,15
Fundamentals of traffic operations and control,2013-2014,15
Industrial automation,2008-2009,15
Management de projet et analyse du risque,2015-2016,15
Imaging optics,2019-2020,15
Scaling laws in micro- and nanosystems,2012-2013,15
Scaling laws in micro- and nanosystems,2011-2012,15
Electronique industrielle II,2009-2010,15
"Ceramics, structures and properties + TP",2018-2019,15
Théorie et critique du projet MA2 (Eliet & Lehmann),2014-2015,15
Cementitious materials (advanced),2018-2019,15
Imaging optics,2012-2013,15
Imagery of territory,2014-2015,15
Electronique industrielle II,2011-2012,15
Cavitation et phénomènes d'interface,2009-2010,15
Satellite communications  systems and networks,2009-2010,15
Eléments constructifs et matériaux VIIa (hiver),2005-2006,15
Catalytic reaction engineering,2005-2006,15
Electronique industrielle I,2006-2007,15
Théorie et critique du projet MA1 (Lamunière),2017-2018,15
Equilibrium-stage separation processes,2012-2013,15
Electronique de puissance II,2011-2012,15
Localisation par satellites,2007-2008,15
Infochimie,2006-2007,15
Electronique III,2014-2015,15
Chemical engineering product design,2016-2017,15
Scientific project design in cell and developmental biology,2018-2019,15
Chemical engineering of heterogenous reaction,2017-2018,15
Chemical engineering of heterogenous reaction,2014-2015,15
Statistiques multivariables avec R,2017-2018,15
Chemical engineering lab and project,2005-2006,15
MEMS practicals II,2019-2020,15
Industrial electronics II,2015-2016,15
Chemical engineering lab & project,2017-2018,15
Machine learning (EDOC),2009-2010,15
Electronique de puissance II,2010-2011,15
Chemical engineering lab & project,2012-2013,15
Théorie et critique du projet MA2 (Ménard),2015-2016,15
Mass spectrometry,2009-2010,15
Safety of chemical processes,2016-2017,15
Eléments d'homotopie,2008-2009,15
Building design in the circular economy,2019-2020,15
Brain computer interaction,2010-2011,15
Biotechnology lab (for CGC),2005-2006,15
